Internship Id,Company name,Internship location,offline / online,stipend,skill required,experience,about the job,deadline for apply,number of opening,duration,Role,Website link of company (optional)
INT-1014,Infosys,Hyderabad,Offline,"₹27,474/month","JIRA, Automation Testing, Manual Testing",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",11-9-2025,25,6 months,Quality Assurance,https://www.infosys.com
INT-1015,Infosys,Mangalore,Offline,"₹28,135/month","Python, Java, Node.js, JavaScript",Fresher,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",11-9-2025,24,2 months,Software Development,https://www.infosys.com
INT-1016,Infosys,Hyderabad (Hybrid),Hybrid,"₹27,595/month","Excel, Financial Analysis, Risk Assessment, Financial Modeling",Commerce/Finance background,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",10-31-2025,3,4 months,Finance,https://www.infosys.com
INT-1017,Infosys,Mangalore,Offline,"₹28,441/month","Employee Relations, HR Analytics, Compliance, Training, Recruitment",0-1 years,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-16-2025,8,2 months,HR,https://www.infosys.com
INT-1018,Infosys,Mangalore (Hybrid),Hybrid,"₹25,567/month","Research, Copywriting, Writing, SEO, Social Media",Strong writing skills,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",11-11-2025,6,6 months,Content Writing,https://www.infosys.com
INT-1019,Infosys,Mangalore,Offline,"₹29,148/month","User Research, Prototyping, Figma, Adobe XD, Wireframing",Portfolio required,"Design user interfaces, conduct user research, create prototypes, improve user experience",10-20-2025,18,6 months,UI/UX Design,https://www.infosys.com
INT-1020,Infosys,Mangalore (Hybrid),Hybrid,"₹29,198/month","Compliance, Recruitment, Training, HR Analytics, Employee Relations",Human psychology understanding,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-10-2025,21,2 months,HR,https://www.infosys.com
INT-1021,Infosys,Mangalore (Hybrid),Hybrid,"₹26,341/month","Market Research, Agile, Product Strategy, Wireframing",Understanding of product development,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",10-21-2025,18,12 months,Product Management,https://www.infosys.com
INT-1022,Infosys,Hyderabad (Hybrid),Hybrid,"₹27,588/month","Wireframing, Agile, Product Strategy",Understanding of product development,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",10-21-2025,23,4 months,Product Management,https://www.infosys.com
INT-1023,Infosys,Mangalore (Hybrid),Hybrid,"₹29,844/month","Analytics, Supply Chain, Logistics",Analytical mindset,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",10-20-2025,5,2 months,Operations,https://www.infosys.com
INT-1024,TCS,Pune,Online,"₹21,937/month","SEO, Social Media, PPC, Google Analytics, Content Marketing",Basic marketing knowledge,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-26-2025,5,12 months,Digital Marketing,https://www.tcs.com
INT-1025,TCS,Mumbai,Offline,"₹20,264/month","React, Java, SQL",Fresher,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",10-10-2025,7,4 months,Software Development,https://www.tcs.com
INT-1026,TCS,Chennai (Hybrid),Hybrid,"₹20,617/month","Deep Learning, Computer Vision, TensorFlow, Python, PyTorch",0-2 years,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",10-10-2025,24,6 months,Machine Learning,https://www.tcs.com
INT-1027,TCS,Chennai,Offline,"₹22,633/month","Project Management, Logistics, Analytics, Supply Chain",Analytical mindset,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",10-22-2025,25,3 months,Operations,https://www.tcs.com
INT-1028,TCS,Pune,Offline,"₹21,006/month","JIRA, Bug Tracking, Automation Testing, Selenium",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",11-5-2025,8,2 months,Quality Assurance,https://www.tcs.com
INT-1029,TCS,Pune,Online,"₹23,296/month","TensorFlow, PyTorch, NLP, Computer Vision",0-2 years,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",11-6-2025,20,3 months,Machine Learning,https://www.tcs.com
INT-1030,TCS,Pune,Online,"₹24,952/month","Selenium, Manual Testing, JIRA",Understanding of SDLC,"Test software applications, identify bugs, write test cases, ensure product quality",11-6-2025,21,12 months,Quality Assurance,https://www.tcs.com
INT-1031,TCS,Pune (Hybrid),Hybrid,"₹23,349/month","Supply Chain, Process Improvement, Project Management",0-1 years,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",10-23-2025,19,3 months,Operations,https://www.tcs.com
INT-1032,TCS,Pune,Offline,"₹23,465/month","Python, SQL, Tableau",0-1 years,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",9-29-2025,25,6 months,Data Science,https://www.tcs.com
INT-1033,TCS,Chennai,Offline,"₹24,672/month","PPC, Google Analytics, Social Media",Basic marketing knowledge,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-14-2025,6,4 months,Digital Marketing,https://www.tcs.com
INT-1034,TCS,Mumbai,Offline,"₹24,882/month","Financial Analysis, Financial Modeling, Accounting, Risk Assessment, Excel",Commerce/Finance background,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",10-27-2025,6,2 months,Finance,https://www.tcs.com
INT-1035,Accenture,Delhi (Hybrid),Hybrid,"₹29,637/month","Accounting, Risk Assessment, Financial Analysis, Financial Modeling, Excel",Commerce/Finance background,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",10-13-2025,21,12 months,Finance,https://www.accenture.com
INT-1036,Accenture,Mumbai (Hybrid),Hybrid,"₹28,786/month","Pandas, Python, SQL, NumPy",Basic ML knowledge required,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",11-10-2025,9,3 months,Data Science,https://www.accenture.com
INT-1037,Accenture,Bengaluru (Hybrid),Hybrid,"₹29,219/month","Research, Copywriting, SEO, Social Media",Strong writing skills,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",9-30-2025,8,6 months,Content Writing,https://www.accenture.com
INT-1038,Accenture,Bengaluru (Hybrid),Hybrid,"₹29,306/month","Negotiation, Sales, CRM, Market Analysis, Client Relations",0-1 years,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-10-2025,2,2 months,Business Development,https://www.accenture.com
INT-1039,Accenture,Mumbai,Online,"₹28,693/month","Automation Testing, JIRA, Manual Testing",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",11-7-2025,21,6 months,Quality Assurance,https://www.accenture.com
INT-1040,Accenture,Mumbai,Online,"₹28,118/month","Analytics, Product Strategy, Wireframing, Market Research, Agile",0-1 years,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",9-30-2025,16,2 months,Product Management,https://www.accenture.com
INT-1041,Accenture,Bengaluru,Offline,"₹30,905/month","Prototyping, Wireframing, User Research, Adobe XD",Portfolio required,"Design user interfaces, conduct user research, create prototypes, improve user experience",10-7-2025,24,2 months,UI/UX Design,https://www.accenture.com
INT-1042,Accenture,Mumbai,Online,"₹30,185/month","Google Analytics, SEO, Social Media",Basic marketing knowledge,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-19-2025,9,6 months,Digital Marketing,https://www.accenture.com
INT-1043,Accenture,Delhi (Hybrid),Hybrid,"₹30,094/month","SEO, Research, Social Media",0-1 years,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",10-7-2025,12,3 months,Content Writing,https://www.accenture.com
INT-1044,Accenture,Mumbai,Online,"₹30,810/month","Prototyping, Wireframing, User Research",Portfolio required,"Design user interfaces, conduct user research, create prototypes, improve user experience",10-24-2025,10,6 months,UI/UX Design,https://www.accenture.com
INT-1045,Accenture,Delhi,Online,"₹29,659/month","SEO, Research, Social Media, Copywriting, Writing",Strong writing skills,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",10-31-2025,9,2 months,Content Writing,https://www.accenture.com
INT-1046,Meta,Remote,Online,"₹93,237/month","Supply Chain, Analytics, Process Improvement, Logistics",Analytical mindset,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",10-22-2025,14,2 months,Operations,https://www.meta.com
INT-1047,Meta,Remote,Online,"₹91,884/month","Training, Compliance, HR Analytics",Human psychology understanding,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-2-2025,23,12 months,HR,https://www.meta.com
INT-1048,Meta,Remote,Online,"₹95,310/month","HR Analytics, Recruitment, Employee Relations, Training, Compliance",Human psychology understanding,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-28-2025,21,3 months,HR,https://www.meta.com
INT-1049,Meta,Remote,Online,"₹88,587/month","Product Strategy, Agile, Analytics, Market Research, Wireframing",Understanding of product development,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",10-26-2025,11,12 months,Product Management,https://www.meta.com
INT-1050,Meta,Remote,Online,"₹82,403/month","Analytics, Supply Chain, Process Improvement",Analytical mindset,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",10-9-2025,11,6 months,Operations,https://www.meta.com
INT-1051,Meta,Remote,Online,"₹99,521/month","Adobe XD, Figma, User Research, Wireframing",0-1 years,"Design user interfaces, conduct user research, create prototypes, improve user experience",10-16-2025,10,4 months,UI/UX Design,https://www.meta.com
INT-1052,Meta,Remote,Online,"₹97,050/month","Figma, Wireframing, Prototyping, Adobe XD, User Research",Portfolio required,"Design user interfaces, conduct user research, create prototypes, improve user experience",10-13-2025,7,2 months,UI/UX Design,https://www.meta.com
INT-1053,Meta,Remote,Online,"₹89,524/month","Analytics, Market Research, Agile, Wireframing",Understanding of product development,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",10-10-2025,12,6 months,Product Management,https://www.meta.com
INT-1054,Google,Hyderabad,Offline,"₹89,993/month","Wireframing, User Research, Adobe XD",Portfolio required,"Design user interfaces, conduct user research, create prototypes, improve user experience",11-4-2025,15,4 months,UI/UX Design,https://www.google.com
INT-1055,Google,Bengaluru,Online,"₹75,062/month","HR Analytics, Employee Relations, Compliance, Recruitment, Training",Human psychology understanding,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-27-2025,12,4 months,HR,https://www.google.com
INT-1056,Google,Hyderabad,Offline,"₹79,701/month","Pandas, Machine Learning, Tableau, NumPy, Python",Basic ML knowledge required,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",11-5-2025,3,6 months,Data Science,https://www.google.com
INT-1057,Google,Hyderabad (Hybrid),Hybrid,"₹86,248/month","Client Relations, Negotiation, Market Analysis",0-1 years,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-19-2025,15,3 months,Business Development,https://www.google.com
INT-1058,Google,Bengaluru,Online,"₹75,149/month","Wireframing, User Research, Prototyping, Figma, Adobe XD",0-1 years,"Design user interfaces, conduct user research, create prototypes, improve user experience",10-28-2025,22,12 months,UI/UX Design,https://www.google.com
INT-1059,Google,Bengaluru,Online,"₹77,947/month","SQL, Python, React",0-1 years,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",10-29-2025,20,12 months,Software Development,https://www.google.com
INT-1060,Google,Bengaluru (Hybrid),Hybrid,"₹79,127/month","Process Improvement, Project Management, Supply Chain, Logistics, Analytics",Analytical mindset,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",11-6-2025,13,2 months,Operations,https://www.google.com
INT-1061,Google,Hyderabad (Hybrid),Hybrid,"₹86,030/month","Logistics, Supply Chain, Analytics",0-1 years,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",10-5-2025,3,6 months,Operations,https://www.google.com
INT-1062,Google,Hyderabad,Online,"₹85,890/month","SEO, Social Media, Copywriting, Writing",Strong writing skills,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",10-18-2025,23,3 months,Content Writing,https://www.google.com
INT-1063,Google,Bengaluru,Online,"₹82,031/month","Writing, Copywriting, Research, Social Media, SEO",Strong writing skills,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",11-4-2025,5,12 months,Content Writing,https://www.google.com
INT-1064,Microsoft,Bengaluru,Offline,"₹79,623/month","Writing, Research, Social Media, Copywriting, SEO",0-1 years,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",10-6-2025,9,6 months,Content Writing,https://www.microsoft.com
INT-1065,Microsoft,Hyderabad (Hybrid),Hybrid,"₹76,191/month","Sales, Negotiation, CRM, Client Relations, Market Analysis",0-1 years,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-12-2025,17,3 months,Business Development,https://www.microsoft.com
INT-1066,Microsoft,Bengaluru,Online,"₹74,201/month","Google Analytics, Social Media, PPC, Content Marketing",Basic marketing knowledge,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-10-2025,6,3 months,Digital Marketing,https://www.microsoft.com
INT-1067,Microsoft,Bengaluru (Hybrid),Hybrid,"₹76,937/month","Analytics, Supply Chain, Logistics, Process Improvement",Analytical mindset,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",10-28-2025,17,3 months,Operations,https://www.microsoft.com
INT-1068,Microsoft,Bengaluru,Online,"₹79,219/month","Automation Testing, Selenium, JIRA, Manual Testing, Bug Tracking",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",10-13-2025,7,2 months,Quality Assurance,https://www.microsoft.com
INT-1069,Microsoft,Hyderabad (Hybrid),Hybrid,"₹77,368/month","Agile, Product Strategy, Wireframing, Market Research",0-1 years,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",10-6-2025,22,12 months,Product Management,https://www.microsoft.com
INT-1070,Microsoft,Hyderabad (Hybrid),Hybrid,"₹73,459/month","React, SQL, JavaScript",Fresher,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",10-7-2025,5,12 months,Software Development,https://www.microsoft.com
INT-1071,Microsoft,Bengaluru,Offline,"₹73,200/month","Tableau, R, Pandas, SQL",Basic ML knowledge required,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",10-5-2025,2,3 months,Data Science,https://www.microsoft.com
INT-1072,Microsoft,Hyderabad (Hybrid),Hybrid,"₹80,676/month","Analytics, Process Improvement, Project Management",Analytical mindset,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",10-31-2025,9,3 months,Operations,https://www.microsoft.com
INT-1073,Microsoft,Bengaluru (Hybrid),Hybrid,"₹82,344/month","Negotiation, Sales, CRM",Strong communication skills,"Support sales processes, conduct market research, build client relationships, assist in business strategy",11-10-2025,4,12 months,Business Development,https://www.microsoft.com
INT-1074,Microsoft,Bengaluru,Online,"₹80,050/month","Python, R, Machine Learning",Basic ML knowledge required,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",10-15-2025,14,2 months,Data Science,https://www.microsoft.com
INT-1075,Amazon,Hyderabad (Hybrid),Hybrid,"₹46,591/month","R, Machine Learning, Python",Basic ML knowledge required,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",10-29-2025,6,4 months,Data Science,https://www.amazon.com
INT-1076,Amazon,Hyderabad (Hybrid),Hybrid,"₹54,743/month","Financial Modeling, Excel, Accounting, Risk Assessment, Financial Analysis",Commerce/Finance background,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",10-11-2025,18,6 months,Finance,https://www.amazon.com
INT-1077,Amazon,Hyderabad,Online,"₹50,263/month","R, Pandas, Tableau",Basic ML knowledge required,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",10-13-2025,11,12 months,Data Science,https://www.amazon.com
INT-1078,Amazon,Chennai (Hybrid),Hybrid,"₹51,701/month","Analytics, Project Management, Supply Chain, Logistics",Analytical mindset,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",11-3-2025,11,6 months,Operations,https://www.amazon.com
INT-1079,Amazon,Chennai (Hybrid),Hybrid,"₹54,741/month","Adobe XD, User Research, Prototyping, Wireframing",Portfolio required,"Design user interfaces, conduct user research, create prototypes, improve user experience",11-2-2025,25,6 months,UI/UX Design,https://www.amazon.com
INT-1080,Amazon,Chennai,Online,"₹46,868/month","Figma, User Research, Wireframing, Prototyping, Adobe XD",Portfolio required,"Design user interfaces, conduct user research, create prototypes, improve user experience",11-4-2025,11,3 months,UI/UX Design,https://www.amazon.com
INT-1081,Amazon,Chennai,Online,"₹49,278/month","Selenium, Manual Testing, Bug Tracking",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",10-13-2025,18,3 months,Quality Assurance,https://www.amazon.com
INT-1082,Amazon,Hyderabad,Online,"₹49,978/month","Pandas, Tableau, Machine Learning",0-1 years,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",11-7-2025,14,4 months,Data Science,https://www.amazon.com
INT-1083,Amazon,Chennai (Hybrid),Hybrid,"₹52,460/month","Deep Learning, PyTorch, NLP, Python, Computer Vision",0-2 years,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",11-9-2025,11,12 months,Machine Learning,https://www.amazon.com
INT-1084,Amazon,Bengaluru,Offline,"₹45,879/month","Tableau, Machine Learning, SQL, NumPy",Basic ML knowledge required,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",10-13-2025,18,4 months,Data Science,https://www.amazon.com
INT-1085,Amazon,Hyderabad,Offline,"₹45,885/month","Sales, Negotiation, CRM, Market Analysis, Client Relations",0-1 years,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-3-2025,19,12 months,Business Development,https://www.amazon.com
INT-1086,Flipkart,Bengaluru,Offline,"₹41,478/month","Compliance, Employee Relations, Training, HR Analytics, Recruitment",Human psychology understanding,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",11-6-2025,6,3 months,HR,https://www.flipkart.com
INT-1087,Flipkart,Bengaluru,Online,"₹45,391/month","Recruitment, Employee Relations, Compliance, Training, HR Analytics",0-1 years,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-1-2025,10,2 months,HR,https://www.flipkart.com
INT-1088,Flipkart,Bengaluru,Offline,"₹46,664/month","Logistics, Analytics, Process Improvement, Project Management",0-1 years,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",9-29-2025,16,4 months,Operations,https://www.flipkart.com
INT-1089,Flipkart,Bengaluru,Offline,"₹44,796/month","Wireframing, Product Strategy, Analytics, Market Research, Agile",Understanding of product development,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",10-31-2025,13,4 months,Product Management,https://www.flipkart.com
INT-1090,Flipkart,Bengaluru (Hybrid),Hybrid,"₹41,197/month","SQL, Pandas, Tableau, Machine Learning, Python",Basic ML knowledge required,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",10-31-2025,20,6 months,Data Science,https://www.flipkart.com
INT-1091,Flipkart,Bengaluru,Online,"₹42,608/month","Pandas, R, Tableau, SQL",0-1 years,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",10-3-2025,24,4 months,Data Science,https://www.flipkart.com
INT-1092,Flipkart,Bengaluru (Hybrid),Hybrid,"₹40,893/month","Java, JavaScript, Python",Fresher,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",10-29-2025,5,3 months,Software Development,https://www.flipkart.com
INT-1093,Flipkart,Bengaluru (Hybrid),Hybrid,"₹48,193/month","Agile, Product Strategy, Analytics",Understanding of product development,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",10-22-2025,5,3 months,Product Management,https://www.flipkart.com
INT-1094,Flipkart,Delhi,Offline,"₹40,697/month","Excel, Financial Analysis, Risk Assessment",Commerce/Finance background,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",11-3-2025,5,4 months,Finance,https://www.flipkart.com
INT-1095,Flipkart,Delhi (Hybrid),Hybrid,"₹45,964/month","User Research, Adobe XD, Wireframing, Figma, Prototyping",0-1 years,"Design user interfaces, conduct user research, create prototypes, improve user experience",11-5-2025,20,12 months,UI/UX Design,https://www.flipkart.com
INT-1096,Flipkart,Bengaluru,Online,"₹48,110/month","CRM, Sales, Negotiation, Client Relations",Strong communication skills,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-1-2025,19,4 months,Business Development,https://www.flipkart.com
INT-1097,NVIDIA,Bengaluru (Hybrid),Hybrid,"₹75,699/month","R, Tableau, Pandas",Basic ML knowledge required,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",10-15-2025,2,12 months,Data Science,https://www.nvidia.com
INT-1098,NVIDIA,Pune,Offline,"₹67,672/month","User Research, Prototyping, Figma",Portfolio required,"Design user interfaces, conduct user research, create prototypes, improve user experience",11-5-2025,25,2 months,UI/UX Design,https://www.nvidia.com
INT-1099,NVIDIA,Pune,Online,"₹68,489/month","Compliance, Employee Relations, Training",0-1 years,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",11-4-2025,11,6 months,HR,https://www.nvidia.com
INT-1100,NVIDIA,Pune,Online,"₹65,893/month","Accounting, Risk Assessment, Financial Analysis",Commerce/Finance background,"Support financial analysis, assist in budgeting, analyze financial data, prepare reports",10-25-2025,16,4 months,Finance,https://www.nvidia.com
INT-1101,NVIDIA,Pune,Online,"₹78,465/month","Analytics, Project Management, Process Improvement, Supply Chain",Analytical mindset,"Optimize business processes, manage operations workflow, analyze performance metrics, coordinate teams",10-14-2025,7,6 months,Operations,https://www.nvidia.com
INT-1102,NVIDIA,Pune,Offline,"₹76,964/month","Copywriting, Writing, SEO",Strong writing skills,"Create engaging content, write blogs and articles, optimize content for SEO, manage social media",10-22-2025,19,6 months,Content Writing,https://www.nvidia.com
INT-1103,NVIDIA,Bengaluru (Hybrid),Hybrid,"₹73,159/month","R, Machine Learning, Tableau",Basic ML knowledge required,"Analyze large datasets, build predictive models, create data visualizations, support business decision making",10-18-2025,3,3 months,Data Science,https://www.nvidia.com
INT-1104,NVIDIA,Pune,Offline,"₹77,405/month","PyTorch, Deep Learning, Python",0-2 years,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",10-19-2025,9,3 months,Machine Learning,https://www.nvidia.com
INT-1105,NVIDIA,Pune,Online,"₹72,306/month","Google Analytics, Content Marketing, PPC, Social Media",Basic marketing knowledge,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-9-2025,4,3 months,Digital Marketing,https://www.nvidia.com
INT-1106,NVIDIA,Pune,Online,"₹67,082/month","Analytics, Wireframing, Agile, Product Strategy",Understanding of product development,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",9-28-2025,5,2 months,Product Management,https://www.nvidia.com
INT-1107,INDmoney,Mumbai (Hybrid),Hybrid,"₹43,220/month","Computer Vision, TensorFlow, Deep Learning, PyTorch, Python",0-2 years,"Develop ML models, work on AI/ML research projects, implement algorithms, optimize model performance",10-14-2025,13,3 months,Machine Learning,https://www.indmoney.com
INT-1108,INDmoney,Bengaluru,Offline,"₹36,381/month","React, JavaScript, Python, SQL",Fresher,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",10-5-2025,24,4 months,Software Development,https://www.indmoney.com
INT-1109,INDmoney,Mumbai,Online,"₹44,617/month","Market Research, Analytics, Wireframing",Understanding of product development,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",10-7-2025,21,2 months,Product Management,https://www.indmoney.com
INT-1110,INDmoney,Bengaluru,Online,"₹41,054/month","Product Strategy, Market Research, Analytics",0-1 years,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",11-5-2025,2,2 months,Product Management,https://www.indmoney.com
INT-1111,INDmoney,Bengaluru (Hybrid),Hybrid,"₹37,723/month","Manual Testing, JIRA, Bug Tracking, Automation Testing, Selenium",Understanding of SDLC,"Test software applications, identify bugs, write test cases, ensure product quality",10-31-2025,20,3 months,Quality Assurance,https://www.indmoney.com
INT-1112,INDmoney,Mumbai,Offline,"₹38,902/month","Java, React, SQL, JavaScript, Node.js",0-1 years,"Develop and maintain software applications, work on frontend/backend development, participate in code reviews and testing",11-4-2025,9,4 months,Software Development,https://www.indmoney.com
INT-1113,INDmoney,Mumbai,Offline,"₹40,721/month","Market Research, Agile, Product Strategy, Wireframing",Understanding of product development,"Support product development lifecycle, conduct market research, work with cross-functional teams, create product roadmaps",11-5-2025,18,3 months,Product Management,https://www.indmoney.com
